metier,GFE,domaine_ONISEP,rome_code,sous_domaine_ONISEP,description
architecte,C : Bâtiment,construction - architecture - travaux publics,F1101,architecture,"Construction d'un immeuble, réaménagement d'une cafétéria, réhabilitation d'une maison, etc. Le maître d'oeuvre de tous ces chantiers, c'est l'architecte. Il suit le projet de construction, de la commande à la livraison. Très créatif, surtout en phase de conception, l'architecte n'a rien d'un artiste qui travaillerait seul face à l'ordinateur. Et il ne suffit pas de dessiner un bâtiment pour qu'il voie le jour ! Le métier comporte aussi beaucoup de contraintes techniques : choix des matériaux, problèmes réglementaires et financiers, date d'achèvement du projet, etc. De plus, l'architecte doit concilier le besoin du client et des utilisateurs, négocier avec les entreprises et les bureaux d'études. La majorité des architectes exerce à titre individuel, en libéral, mais la plupart débutent comme salariés dans de toutes petites agences (moins de 4 personnes). Quelques-uns intègrent, par voie de concours, le secteur public."
géomètre-topographe,C : Bâtiment,construction - architecture - travaux publics,F1108,sciences de la Terre,"L'oeil rivé dans le viseur de son tachéomètre, le géomètre-topographe mesure et délimite le terrain et les propriétés du sous-sol. Mais il est aussi chargé d'estimer la valeur d'un bien foncier. Concepteur, il joue le rôle de maître d'oeuvre et de conseil. Il travaille en extérieur sur un chantier mais aussi dans un bureau sur son ordinateur de CAO/DAO (conception et dessin assistés par ordinateur. Rapide et minutieux dans son exécution, il a le sens de l'espace. Une vue excellente est indispensable. Il travaille en équipe et rencontre de nombreuses personnes (architectes, propriétaires, élus etc.). Il peut travailler en entreprise privée (spécialisée dans la construction d'autoroutes, par exemple) ou pour un établissement public. Dans ce cas, il est fonctionnaire employé par une collectivité locale, les services techniques d'une ville, etc. Pour être géomètre expert à son compte, il faut obtenir l'aval d'une commission délivrant le titre de géomètre expert."
technicien / technicienne de maintenance en génie climatique,"H : Electricité, énergie, électronique",construction - architecture - travaux publics,I1308,énergies,"Professionnel de l'ambiance et du confort, le technicien de maintenance en génie climatique est le spécialiste des appareils qui assurent la climatisation, le chauffage et la ventilation des locaux. Objectif : obtenir la température ou la qualité de l'air souhaitée, dans des bâtiments aussi différents que les logements, les salles de spectacle ou les bureaux. Veillant au bon fonctionnement des équipements techniques, le technicien assure leur entretien et leur dépannage. Toujours disponible, il apporte une solution rapide et efficace aux clients victimes d'une panne. Très recherché, il est employé aussi bien par les entreprises du bâtiment que par les sociétés de services chargées de l'exploitation et de la maintenance des installations."
menuisier / menuisière,M : Travail du bois,construction - architecture - travaux publics,H2202,bois,"Travailler le bois, lui donner une seconde vie, c'est son métier. Le menuisier passe l'essentiel de son temps dans son atelier. Placards, parquets, escaliers, portes, fenêtres, volets : toute boiserie doit être conçue, dessinée, débitée, montée, posée, vernie ou teintée. Avec le souci de respecter les structures et l'étanchéité. Ce professionnel doit être habile et maîtriser les bases de la géométrie. Si le bois reste son matériau de prédilection, il utilise désormais l'aluminium, le PVC, les panneaux agglomérés ou stratifiés, etc.
Quoique important, le travail manuel est de plus en plus relayé par des machines. Une spécialisation très demandée, celle d'agenceur de cuisines, consiste à concevoir et installer des éléments de rangement et des surfaces de travail pour une cuisine. La plupart du temps, ce menuisier d'agencement est un fabricant industriel, qui dispose d'un réseau de distributeurs.
Les débouchés sont également assurés dans l'agencement et la décoration de locaux commerciaux. Le menuisier est salarié ou installé à son compte comme artisan."
acheteur / acheteuse,"Q : Commerce, gestion, finances","commerce, marketing, vente",M1101,grande distribution et petits commerces,"Le rôle d'un acheteur est d'acheter des produits en grande quantité pour approvisionner les rayons d'un magasin (laitages, livres...) ou d'une usine (machines outils, matériel de reprographie...). Quel que soit le domaine, il connaît parfaitement les caractéristiques des produits achetés. En contact permanent avec les fournisseurs, il négocie pour son entreprise les meilleures conditions d'achat : les prix, la quantité et les délais de livraison optimaux. Son objectif est de réduire au minimum les stocks et le coût de production ou de vente du produit, afin d'augmenter la marge de bénéfice. Dans l'industrie, l'acheteur travaille avec le service marketing ou la comptabilité ; dans la distribution, avec les chefs de rayon et marchandiseurs. Salarié dans l'industrie ou la grande distribution, l'acheteur a un rôle stratégique au sein de l'entreprise, car des sommes très importantes sont en jeu.
Le jeune diplômé débute à la gestion des stocks ou à l'approvisionnement. Dans l'industrie, une double compétence technique et commerciale est impérative. Avec l'ouverture internationale, la pratique de l'anglais est très recommandée."
vendeur / vendeuse en magasin,"Q : Commerce, gestion, finances","commerce, marketing, vente",D1214,marketing - vente,"« Un client satisfait reviendra ! » Cela pourrait être la devise de tous les vendeurs. Professionnel qualifié, le vendeur sait écouter le client, l'informer et le conseiller en fonction de son profil et de ses besoins.
Dans un petit commerce, le vendeur prend en charge diverses activités : préparation du magasin avant l'ouverture, tri des marchandises, étiquetage, disposition des articles sur les étalages, réassortiment des rayons. Il est plus polyvalent que dans une grande surface ou un magasin spécialisé, où il ne vend qu'un type de produits (électroménager, ordinateurs, bijoux, articles de sport, voitures…).
Souvent, son salaire est composé d'un fixe auquel s'ajoutent des primes (commissions ou pourcentages sur les ventes). Après une expérience de vendeur, plusieurs postes sont accessibles : attaché commercial ou manager de rayon."
agent / agente de transit,"O : Transport, logistique",logistique - transport,N1202,transport,"Comment expédier à travers le monde des marchandises et s'assurer qu'elles arrivent à bon port ? En les plaçant sous le contrôle d'un agent de transit. Il négocie les meilleures conditions de transport et les meilleurs prix, tout en respectant les lois en vigueur. À lui d'agir en respectant les consignes rédigées dans les contrats et d'obtenir toutes les autorisations nécessaires à l'acheminement des produits. La réglementation dans ce secteur est en effet très rigoureuse, obéissant à des lois qui varient avec les produits, les modes de transport et les pays traversés. L'agent de transit doit donc faire preuve d'une grande rigueur. En cas de litige ou de réclamation, il engage les procédures nécessaires et devient le premier interlocuteur des assurances. Son activité suit le rythme des douanes et des arrivages de marchandises. Des surcharges de travail surviennent ponctuellement. Les accidents, pannes et autres imprévus peuvent l'obliger à une grande souplesse dans ses horaires de travail.
Peu connue du grand public, la profession recherche des candidats, particulièrement à bac + 2 et maîtrisant l'anglais. Les formations en alternance sont un plus."
conducteur routier / conductrice routière,"O : Transport, logistique",logistique - transport,N4101,transport,"Au volant de son véhicule, du matin au soir, le conducteur routier veille sur les marchandises qu'il transporte tout en respectant les délais de livraison, en supervisant les opérations de chargement et de déchargement (voire y participer), et enfin en assurant l'entretien régulier du camion : vérifications, vidanges... L'activité varie avec le type de véhicule, la nature du fret et les distances à parcourir. Après avoir débuté avec des véhicules de petit ou de moyen tonnage, le conducteur routier peut passer aux gabarits plus lourds. Le grand routier ou conducteur "" longue distance "" se déplace en France et à l'étranger. Le conducteur "" courte distance "" effectue des trajets régionaux. Le livreur ou conducteur "" messager "" circule en ville ou sur de courtes distances. "
conducteur/trice de machines agricoles,A : Agriculture,mécanique,A1101,machinisme agricole,"Tracteur, moissonneuse-batteuse, ensileuse, épandeur d'engrais, pulvérisateur : le conducteur de machines agricoles connaît toutes ces machines sur le bout des doigts. Il les pilote, bien sûr, les programme (puisque la plupart ont désormais des commandes numériques) et en assure l'entretien courant. À la demande d'un agriculteur, il effectue les labours, les traitements ou la récolte au rythme des saisons. Pendant les moissons ou lors des semis, il travaille durant de nombreuses heures. L'hiver, période plus calme, il effectue l'entretien des matériels.
Ce métier requiert de nombreuses compétences. Il peut s'exercer au sein d'une exploitation, mais plus souvent dans une entreprise de travaux agricoles, forestiers ou ruraux ou une Cuma (coopérative d'utilisation de matériel agricole)."
technicien / technicienne logistique,"O : Transport, logistique",logistique - transport,N1303,transport,"Le technicien logistique est responsable des stocks de son entreprise ou de son usine. Il vérifie les commandes et les livraisons, s'assure que l'entrepôt est bien organisé et que chaque produit est à sa place. En lien avec les fournisseurs, les transporteurs et les différents services de l'entreprise, il doit réagir rapidement et avec sang-froid en cas d'imprévu (livraison en retard, marchandise abîmée, grève, etc.). Il travaille au quotidien avec un logiciel de gestion des stocks, mais il est également sur le terrain où il gère généralement une équipe de caristes et de manutentionnaires, chargés de déplacer et entreposer les marchandises. Le technicien logistique est recherché dans tous les secteurs d'activités."
