rome_code,description
A1101,"Réalise des travaux mécanisés agricoles, sylvicoles ou forestiers (préparation des sols, semis, récolte, abattage d''arbres, ...) selon les objectifs de production (quantité, qualité, ...), la commande du client, les règles d''hygiène, de sécurité et la réglementation environnementale."
A1201,"Réalise des opérations de coupe et d''entretien d''arbres (abattage, élagage, taille ...) sur sites forestiers, voies départementales, parcs et jardins, ..., selon les règles de sécurité, les normes environnementales et les impératifs de production (délais, quantités, ...).
Peut débarder les grumes. Peut estimer la valeur de coupes.
Peut diriger une équipe ou diriger une entreprise de bûcheronnage, d''élagage, d''espaces verts."
A1202,"Aménage et entretient des écosystèmes (espaces naturels) afin de préserver leurs qualités biologiques selon les règles de sécurité et la réglementation environnementale.
Peut installer des équipements de préservation du littoral.
Peut coordonner une équipe."
A1203,"Aménage et entretient des espaces verts (parcs, jardins, terrains de sport, ...) et des décors végétaux d''intérieur ou d''extérieur (bureaux, commerces, halls d''accueil, murs végétaux, ...) selon les règles de sécurité et la réglementation environnementale.
Peut aménager des ouvrages paysagers, des ouvrages maçonnés et installer du mobilier urbain.
Peut coordonner une équipe."
A1204,"Effectue la surveillance de site (espaces naturels, protégés, ...) et veille à la sauvegarde du patrimoine naturel (réserve naturelle, forêts, littoral, ...) selon les directives institutionnelles, la réglementation environnementale (loi de protection du littoral, ...) et les règles de sécurité.
Peut sensibiliser différents publics à la protection de l''environnement, ou mettre en place la sécurisation du public.
Peut coordonner une équipe."
A1205,"Met en oeuvre les opérations sylvicoles sur des parcelles forestières (dépressage, éclaircies, plantation, élagage sylvicole, ...) selon les règles d''hygiène et de sécurité, les objectifs d''exploitation (commerciaux, qualitatifs, ...) et les normes environnementales.
Peut effectuer des travaux d''aménagement de la forêt et des voies forestières.
Peut coordonner une équipe ou diriger une exploitation forestière."
A1301,"Conseille et assiste techniquement les professionnels de l''agriculture, de l''aquaculture, de la sylviculture ou de l''élevage selon les orientations institutionnelles (préservation du patrimoine naturel, ...), les projets d''aménagement du territoire (dispositif de gestion de l''eau,...) ou d''implantation d''exploitation agricole et d''élevage, et la réglementation environnementale.
Peut former et sensibiliser différents publics. Peut réaliser des prélèvements d''échantillons.
Peut coordonner une équipe."
A1302,"Réalise les opérations de contrôle ou de diagnostic (surveillance, prélèvements, relevés de mesures) sur les lieux de production (élevages, abattoirs, ...) et de stockage (chambre froide, silo, ...) selon les règles d''hygiène, de sécurité et la réglementation sanitaire et environnementale.
Peut procéder à des contrôles de conformité et verbaliser les contrevenants à la réglementation.
Peut coordonner une équipe."
A1303,"Conduit des études ou des projets scientifiques et technico-économiques (étude de filière, aménagement et gestion de l''eau, mise en valeur et conservation du patrimoine, ...) selon les orientations institutionnelles et projets d''aménagement du territoire, d''implantation d''exploitations et la réglementation environnementale.
Peut mettre en oeuvre des appels d''offres et procéder au contrôle des réalisations. Peut former ou sensibiliser différents publics.
Peut coordonner une équipe."
A1401,"Réalise des opérations simples manuelles d''entretien de cultures, de récolte de fruits et de vendange selon les règles d''hygiène, les normes environnementales et les impératifs de production (rendement, délai, ...).
Peut réaliser des opérations de conditionnement des produits."
