thematic_code,thematic_title,code_type_referentiel,rome_code,rome_title
001,Métiers de l'environnement et du développement durable,7,A1201,Bûcheronnage et élagage
001,Métiers de l'environnement et du développement durable,7,A1202,Entretien des espaces naturels
001,Métiers de l'environnement et du développement durable,7,A1203,Aménagement et entretien des espaces verts
001,Métiers de l'environnement et du développement durable,7,A1204,Protection du patrimoine naturel
001,Métiers de l'environnement et du développement durable,7,A1205,Sylviculture
001,Métiers de l'environnement et du développement durable,7,A1301,Conseil et assistance technique en agriculture et environnement naturel
001,Métiers de l'environnement et du développement durable,7,A1303,Ingénierie en agriculture et environnement naturel
001,Métiers de l'environnement et du développement durable,7,E1103,Communication
001,Métiers de l'environnement et du développement durable,7,F1101,Architecture du BTP et du paysage
001,Métiers de l'environnement et du développement durable,7,F1103,Contrôle et diagnostic technique du bâtiment
001,Métiers de l'environnement et du développement durable,7,F1105,Études géologiques
001,Métiers de l'environnement et du développement durable,7,F1106,Ingénierie et études du BTP
001,Métiers de l'environnement et du développement durable,7,F1201,Conduite de travaux du BTP et de travaux paysagers
001,Métiers de l'environnement et du développement durable,7,F1202,Direction de chantier du BTP
001,Métiers de l'environnement et du développement durable,7,F1501,Montage de structures et de charpentes bois
001,Métiers de l'environnement et du développement durable,7,F1503,Réalisation - installation d'ossatures bois
001,Métiers de l'environnement et du développement durable,7,F1602,Électricité bâtiment
001,Métiers de l'environnement et du développement durable,7,F1603,Installation d'équipements sanitaires et thermiques
001,Métiers de l'environnement et du développement durable,7,F1607,Pose de fermetures menuisées
001,Métiers de l'environnement et du développement durable,7,F1610,Pose et restauration de couvertures
001,Métiers de l'environnement et du développement durable,7,F1613,Travaux d'étanchéité et d'isolation
001,Métiers de l'environnement et du développement durable,7,F1703,Maçonnerie
001,Métiers de l'environnement et du développement durable,7,F1705,Pose de canalisations
001,Métiers de l'environnement et du développement durable,7,G1102,Promotion du tourisme local
001,Métiers de l'environnement et du développement durable,7,G1201,"Accompagnement de voyages, d'activités culturelles ou sportives"
001,Métiers de l'environnement et du développement durable,7,G1202,Animation d'activités culturelles ou ludiques
001,Métiers de l'environnement et du développement durable,7,G1403,Gestion de structure de loisirs ou d'hébergement touristique
001,Métiers de l'environnement et du développement durable,7,H1206,"Management et ingénierie études, recherche et développement industriel"
001,Métiers de l'environnement et du développement durable,7,H1301,Inspection de conformité
001,Métiers de l'environnement et du développement durable,7,H1302,Management et ingénierie Hygiène Sécurité Environnement -HSE- industriels
001,Métiers de l'environnement et du développement durable,7,H1303,Intervention technique en Hygiène Sécurité Environnement -HSE- industriel
001,Métiers de l'environnement et du développement durable,7,H1501,Direction de laboratoire d'analyse industrielle
001,Métiers de l'environnement et du développement durable,7,H1503,Intervention technique en laboratoire d'analyse industrielle
001,Métiers de l'environnement et du développement durable,7,H2701,Pilotage d'installation énergétique et pétrochimique
001,Métiers de l'environnement et du développement durable,7,I1304,Installation et maintenance d'équipements industriels et d'exploitation
001,Métiers de l'environnement et du développement durable,7,I1306,"Installation et maintenance en froid, conditionnement d'air"
001,Métiers de l'environnement et du développement durable,7,I1308,Maintenance d'installation de chauffage
001,Métiers de l'environnement et du développement durable,7,I1503,Intervention en milieux et produits nocifs
001,Métiers de l'environnement et du développement durable,7,K1702,Direction de la sécurité civile et des secours
001,Métiers de l'environnement et du développement durable,7,K1705,Sécurité civile et secours
001,Métiers de l'environnement et du développement durable,7,K1802,Développement local
001,Métiers de l'environnement et du développement durable,7,K1903,Défense et conseil juridique
001,Métiers de l'environnement et du développement durable,7,K2301,Distribution et assainissement d'eau
001,Métiers de l'environnement et du développement durable,7,K2302,Management et inspection en environnement urbain
001,Métiers de l'environnement et du développement durable,7,K2303,Nettoyage des espaces urbains
001,Métiers de l'environnement et du développement durable,7,K2304,Revalorisation de produits industriels
001,Métiers de l'environnement et du développement durable,7,K2305,Salubrité et traitement de nuisibles
001,Métiers de l'environnement et du développement durable,7,K2306,Supervision d'exploitation éco-industrielle
001,Métiers de l'environnement et du développement durable,7,K2402,"Recherche en sciences de l'univers, de la matière et du vivant"
001,Métiers de l'environnement et du développement durable,7,M1402,Conseil en organisation et management d'entreprise
001,Métiers de l'environnement et du développement durable,7,M1403,Études et prospectives socio-économiques
001,Métiers de l'environnement et du développement durable,7,M1808,Information géographique
001,Métiers de l'environnement et du développement durable,7,M1809,Information météorologique
002,"Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)",7,F1107,Mesures topographiques
002,"Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)",7,F1302,Conduite d'engins de terrassement et de carrière
002,"Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)",7,F1702,Construction de routes et voies
002,"Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)",7,F1704,Préparation du gros oeuvre et des travaux publics
002,"Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)",7,I1302,Installation et maintenance d'automatismes
002,"Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)",7,I1305,Installation et maintenance électronique
002,"Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)",7,I1310,Maintenance mécanique industrielle
